code,name,date,bamount,samount,type
601162,天风证券,2018-11-02,0.0,31.19,连续三个交易日内，涨幅偏离值累计达20%的证券
600718,东软集团,2018-11-02,4151.07,2224.41,涨幅偏离值达7%的证券
600122,宏图高科,2018-11-02,0.0,84.52,跌幅偏离值达7%的证券
002939,长城证券,2018-11-02,0.0,1376.72,连续三个交易日内，日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的股票
002939,长城证券,2018-11-02,0.0,1376.72,连续三个交易日内，涨幅偏离值累计达20%的证券
002939,长城证券,2018-11-02,0.0,1376.72,换手率达20%的证券
002617,露笑科技,2018-11-02,0.0,536.0,跌幅偏离值达7%的证券
002617,露笑科技,2018-11-02,0.0,536.0,连续三个交易日内，跌幅偏离值累计达20%的证券
002226,江南化工,2018-11-02,0.0,299.75,跌幅偏离值达7%的证券
002147,新光圆成,2018-11-02,1430.48,0.0,连续三个交易日内，跌幅偏离值累计达20%的证券
002147,新光圆成,2018-11-02,1430.48,0.0,跌幅偏离值达7%的证券
603660,苏州科达,2018-11-01,7488.15,0.0,连续三个交易日内，涨幅偏离值累计达20%的证券
601990,南京证券,2018-11-01,2329.25,0.0,换手率达20%的证券
002939,长城证券,2018-11-01,1327.14,0.0,涨幅偏离值达7%的证券
002563,森马服饰,2018-11-01,1173.02,485.52,涨幅偏离值达7%的证券
002617,露笑科技,2018-11-01,0.0,43.29,跌幅偏离值达7%的证券
002147,新光圆成,2018-11-01,99.73,0.0,跌幅偏离值达7%的证券
000150,宜华健康,2018-11-01,0.0,1885.03,涨幅偏离值达7%的证券
603076,乐惠国际,2018-10-31,0.0,2404.04,换手率达20%的证券
600856,中天能源,2018-10-31,1730.71,0.0,涨幅偏离值达7%的证券
300746,汉嘉设计,2018-10-31,248.12,0.0,换手率达20%的证券
300013,新宁物流,2018-10-31,405.97,0.0,跌幅偏离值达7%的证券
002766,索菱股份,2018-10-31,0.0,1181.13,涨幅偏离值达7%的证券
600487,亨通光电,2018-10-30,1225.29,18178.44,跌幅偏离值达7%的证券
300746,汉嘉设计,2018-10-30,0.0,270.25,涨幅偏离值达7%的证券
300108,吉药控股,2018-10-30,0.0,492.18,跌幅偏离值达7%的证券
002939,长城证券,2018-10-30,0.0,73.69,连续三个交易日内，涨幅偏离值累计达20%的证券
002766,索菱股份,2018-10-30,0.0,4626.83,跌幅偏离值达7%的证券
002635,安洁科技,2018-10-30,0.0,348.34,涨幅偏离值达7%的证券
002563,森马服饰,2018-10-30,1175.27,5843.74,跌幅偏离值达7%的证券
600298,安琪酵母,2018-10-30,20091.92,0.0,连续三个交易日内，跌幅偏离值累计达20%的证券
002180,纳思达,2018-10-30,3134.45,681.27,涨幅偏离值达7%的证券
601162,天风证券,2018-10-30,0.0,36.86,连续三个交易日内，涨幅偏离值累计达20%的证券
603898,好莱客,2018-10-30,440.32,213.49,跌幅偏离值达7%的证券
603566,普莱柯,2018-10-30,1373.26,2547.89,振幅值达15%的证券
002027,分众传媒,2018-10-30,7346.29,12879.18,跌幅偏离值达7%的证券
000988,华工科技,2018-10-30,518.96,467.22,跌幅偏离值达7%的证券
000517,荣安地产,2018-10-30,0.0,384.82,振幅值达15%的证券
002304,洋河股份,2018-10-29,10847.0,19935.94,跌幅偏离值达7%的证券
600872,中炬高新,2018-10-29,17440.26,30981.25,连续三个交易日内，跌幅偏离值累计达20%的证券
300482,万孚生物,2018-10-29,0.0,2250.98,跌幅偏离值达7%的证券
002707,众信旅游,2018-10-29,0.0,3420.79,跌幅偏离值达7%的证券
002304,洋河股份,2018-10-29,10847.0,19935.94,跌幅偏离值达7%的证券
600872,中炬高新,2018-10-29,17440.26,30981.25,连续三个交易日内，跌幅偏离值累计达20%的证券
000596,古井贡酒,2018-10-29,5779.09,4267.04,跌幅偏离值达7%的证券
000858,五粮液,2018-10-29,9728.37,9634.78,跌幅偏离值达7%的证券
000860,顺鑫农业,2018-10-29,796.09,1627.63,跌幅偏离值达7%的证券
600188,兖州煤业,2018-10-29,1532.22,11222.29,跌幅偏离值达7%的证券
601218,吉鑫科技,2018-10-29,0.0,29.79,涨幅偏离值达7%的证券
601162,天风证券,2018-10-29,0.0,11.16,涨幅偏离值达7%的证券
300694,蠡湖股份,2018-10-29,716.14,0.0,换手率达20%的证券
300618,寒锐钴业,2018-10-29,0.0,2374.75,跌幅偏离值达7%的证券
