Irank,MovieName,WomIndex,avgboxoffice,avgshowcount,box_pro,boxoffice,days,releaseTime
1,无双,7.84,36,15,32.1,116645,31,2018-09-30
2,影,7.40,36,13,15.3,55774,31,2018-09-30
3,李茶的姑妈,6.05,35,14,13.6,49427,31,2018-09-30
4,找到你,7.49,32,9,7.3,26624,27,2018-10-05
5,胖子行动队,5.53,34,11,6.3,22760,31,2018-09-30
6,铁血战士,5.79,35,8,4.7,17204,6,2018-10-26
7,悲伤逆流成河,6.07,34,11,3.7,13304,31,2018-09-21
8,嗝嗝老师,7.85,30,9,3.5,12708,20,2018-10-12
9,阿凡提之奇缘历险,6.06,35,12,2.1,7582,31,2018-10-01
10,昨日青空,6.10,32,6,1.7,6189,6,2018-10-26
999,其他,,32,5,9.7,35240,,
