code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
000150,宜华健康,9.978,49826.25,30754.39,19071.87,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.29,0.18,2018-11-02
000609,中迪投资,10.0379,4786.96,3450.94,1336.02,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.29,0.11,2018-11-02
000993,闽东电力,10.0379,5254.12,3444.14,1809.98,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.15,0.08,2018-11-02
002147,新光圆成,-10.0151,3331.30,1605.72,1725.58,日跌幅偏离值达到7%的前五只证券,0.93,1.00,2018-11-02
002147,新光圆成,-10.0151,5274.20,2564.69,2709.51,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.86,0.91,2018-11-02
002226,江南化工,-9.9631,2074.71,205.64,1869.06,日跌幅偏离值达到7%的前五只证券,0.06,0.58,2018-11-02
002617,露笑科技,-9.916,8591.40,2804.24,5787.16,日跌幅偏离值达到7%的前五只证券,0.35,0.72,2018-11-02
002617,露笑科技,-9.916,9560.93,2848.87,6712.06,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.32,0.75,2018-11-02
002647,仁东控股,-5.8591,15748.51,5289.91,10458.61,日跌幅偏离值达到7%的前五只证券,0.42,0.82,2018-11-02
002668,奥马电器,-10,1251.71,183.75,1067.97,日跌幅偏离值达到7%的前五只证券,0.17,1.00,2018-11-02
002668,奥马电器,-10,2531.86,530.96,2000.89,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.26,0.96,2018-11-02
002862,实丰文化,10,8403.53,4761.37,3642.16,日换手率达到20%的前五只证券,0.21,0.16,2018-11-02
002935,天奥电子,5.6279,4852.61,2160.14,2692.46,日换手率达到20%的前五只证券,0.06,0.07,2018-11-02
002937,兴瑞科技,10.0186,11078.59,7179.08,3899.51,日换手率达到20%的前五只证券,0.10,0.05,2018-11-02
002939,长城证券,9.9925,36182.54,25995.38,10187.16,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.08,0.03,2018-11-02
002939,长城证券,9.9925,28827.82,19238.03,9589.79,日换手率达到20%的前五只证券,0.07,0.03,2018-11-02
002939,长城证券,9.9925,28827.82,19238.03,9589.79,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.07,0.03,2018-11-02
002940,昂利康,3.0644,6372.42,3172.24,3200.18,日换手率达到20%的前五只证券,0.06,0.06,2018-11-02
300670,大烨智能,2.3187,3523.60,1400.72,2122.89,日换手率达到20%的前五只证券,0.05,0.07,2018-11-02
300694,蠡湖股份,1.6451,8019.27,2872.52,5146.75,日换手率达到20%的前五只证券,0.04,0.07,2018-11-02
300730,科创信息,9.995,10425.68,8275.49,2150.20,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.43,0.11,2018-11-02
300736,百邦科技,-0.4675,2197.95,937.81,1260.14,日换手率达到20%的前五只证券,0.05,0.07,2018-11-02
300748,金力永磁,9.9933,11638.99,5216.44,6422.55,日换手率达到20%的前五只证券,0.13,0.16,2018-11-02
300749,顶固集创,5.1604,5655.85,2201.23,3454.62,日换手率达到20%的前五只证券,0.05,0.07,2018-11-02
600086,东方金钰,-9.9602,473.97,97.63,376.34,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.26,1.00,2018-11-02
600122,宏图高科,-10,1362.30,473.26,889.04,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.43,0.80,2018-11-02
600226,瀚叶股份,-10.0271,2776.72,1159.18,1617.54,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.35,0.49,2018-11-02
600319,亚星化学,10.0985,2252.71,1677.89,574.82,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.66,0.22,2018-11-02
600718,东软集团,10.0508,11031.72,7299.69,3732.04,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.18,0.09,2018-11-02
601162,天风证券,10.0329,3227.05,3112.33,114.72,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.47,0.02,2018-11-02
603032,德新交运,10,23098.82,14543.83,8554.99,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.07,0.04,2018-11-02
603192,汇得科技,2.1628,4800.89,3553.52,1247.37,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.11,0.04,2018-11-02
603297,永新光学,6.1818,4623.52,2364.24,2259.27,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.06,2018-11-02
603790,雅运股份,3.2609,4634.63,2515.43,2119.19,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.06,2018-11-02
603996,中新科技,10.0467,2931.46,2232.49,698.96,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.91,0.28,2018-11-02
